"country","averageTemperature","averageTemperatureF"
"Rwanda","17.8500","64.1300"
"South Africa","17.7500","63.9500"
"Syria","17.7500","63.9500"
"Uruguay","17.5500","63.5900"
"Iran","17.2500","63.0500"
"Morocco","17.1000","62.7800"
"Lebanon","16.4000","61.5200"
"Greece","15.4000","59.7200"
"Portugal","15.1500","59.2700"
"Turkmenistan","15.1000","59.1800"
"Argentina","14.8000","58.6400"
"Monaco","13.5500","56.3900"
"Italy","13.4500","56.2100"
"Spain","13.3000","55.9400"
"Myanmar","13.0500","55.4900"
"Afghanistan","12.6000","54.6800"
"Uzbekistan","12.0500","53.6900"
"Azerbaijan","11.9500","53.5100"
"Lesotho","11.8500","53.3300"
"San Marino","11.8500","53.3300"
"South Korea","11.5000","52.7000"
"Albania","11.4000","52.5200"
"Japan","11.1500","52.0700"
"Turkey","11.1000","51.9800"
"Croatia","10.9000","51.6200"
"France","10.7000","51.2600"
"Serbia","10.5500","50.9900"
"Bulgaria","10.5500","50.9900"
"New Zealand","10.5500","50.9900"
"Montenegro","10.5500","50.9900"
"Bosnia and Herzegovina","9.8500","49.7300"
"Hungary","9.7500","49.5500"
"Belgium","9.5500","49.1900"
"Moldova","9.4500","49.0100"
"Ireland","9.3000","48.7400"
"Netherlands","9.2500","48.6500"
"Slovenia","8.9000","48.0200"
"Romania","8.8000","47.8400"
"Luxembourg","8.6500","47.5700"
"United States","8.5500","47.3900"
"Germany","8.5000","47.3000"
"United Kingdom","8.4500","47.2100"
"Chile","8.4500","47.2100"
"Ukraine","8.3000","46.9400"
"Nepal","8.1000","46.5800"
"Poland","7.8500","46.1300"
"Andorra","7.6000","45.6800"
"Czech Republic","7.5500","45.5900"
"Denmark","7.5000","45.5000"
"Bhutan","7.4000","45.3200"
"Armenia","7.1500","44.8700"
"China","6.9500","44.5100"
"Slovakia","6.8000","44.2400"
"Kazakhstan","6.4000","43.5200"
"Austria","6.3500","43.4300"
"Lithuania","6.2000","43.1600"
"Belarus","6.1500","43.0700"
"Georgia","5.8000","42.4400"
"North Korea","5.7000","42.2600"
"Liechtenstein","5.6500","42.1700"
"Latvia","5.6000","42.0800"
"Switzerland","5.5000","41.9000"
"Estonia","5.1000","41.1800"
"Sweden","2.1000","35.7800"
"Tajikistan","2","35.6000"
"Iceland","1.7500","35.1500"
"Finland","1.7000","35.0600"
"Kyrgyzstan","1.5500","34.7900"
"Norway","1.5000","34.7000"
"Mongolia","-0.7000","30.7400"
"Russia","-5.1000","22.8200"
"Canada","-5.3500","22.3700"
