"country","both","male","female"
"Armenia","4.6700","7.7000","2.1400"
"Zimbabwe","4.5200","7.9400","1.6200"
"Zambia","4.4600","7.2600","1.7900"
"Israel","4.3800","6.8400","2.0200"
"Nauru","4.1800","7.0700","1.4600"
"North Korea","4.1600","6.8900","1.6100"
"Jamaica","4.1600","6.7100","1.6900"
"El Salvador","4.0900","6.9100","1.7500"
"Malawi","4.0800","6.7600","1.5600"
"Costa Rica","4.0700","6.4900","1.6800"
"Honduras","3.9300","6.3400","1.5700"
"Bolivia","3.9100","6","1.8400"
"United Arab Emirates","3.8500","4.9700","0.8700"
"Fiji","3.6800","6.0800","1.2300"
"Venezuela","3.5600","5.7200","1.5100"
"Gambia","3.3600","5.7300","1.0900"
"Ecuador","3.2700","5.0100","1.5600"
"Namibia","3.1500","5.3000","1.2000"
"Turkmenistan","3.0900","5.2600","1.0300"
"Ivory Coast","3.0400","4.8300","1.1900"
"Haiti","3.0200","4.9600","1.1900"
"Sri Lanka","2.8700","4.7500","1.1900"
"Samoa","2.8200","4.5800","0.9300"
"Ghana","2.7800","4.3700","1.1600"
"Maldives","2.7800","3.9500","0.5700"
"Mozambique","2.6900","4.5300","1.0400"
"Togo","2.6600","4.2500","1.1000"
"Uzbekistan","2.6100","4.4800","0.7900"
"Micronesia","2.5100","4.1400","0.8500"
"Kiribati","2.3200","3.9700","0.8000"
"Benin","2.2300","3.5900","0.9000"
"Ethiopia","2.2000","3.6600","0.7800"
"Kenya","2.1500","3.5100","0.8300"
"Myanmar","2.1400","3.5700","0.8500"
"Papua New Guinea","2.1200","3.4900","0.7200"
"Eritrea","2.1100","3.5200","0.7300"
"Vanuatu","2.1000","3.4800","0.7300"
"Tunisia","2.0400","3.6100","0.5300"
"Singapore","2","2.9200","0.9900"
"Madagascar","1.9800","3.2200","0.7700"
"Turkey","1.7700","3.1200","0.4800"
"Solomon Islands","1.7400","2.8700","0.5900"
"Central African Republic","1.7100","2.7600","0.7100"
"Guatemala","1.6300","2.6300","0.6900"
"Lebanon","1.5300","2.5800","0.4900"
"Qatar","1.5100","1.8100","0.3800"
"Mali","1.3100","2.2600","0.3900"
"Tuvalu","1.3100","2.2600","0.4500"
"Chad","1.2600","2.0700","0.4600"
"Comoros","1.1500","2","0.3000"
"Bahrain","1.1300","1.5400","0.3200"
"DR Congo","1.1000","1.7600","0.4600"
"Guinea","1.0900","1.9400","0.3600"
"Iran","1.0100","1.7600","0.2500"
"Azerbaijan","0.9800","1.6700","0.3200"
"Malaysia","0.9300","1.4800","0.3500"
"Oman","0.9200","1.2200","0.2300"
"Tajikistan","0.8800","1.4900","0.2600"
"Senegal","0.7300","1.3000","0.2200"
"Algeria","0.6300","1.0900","0.1700"
"Nepal","0.6200","1.1000","0.2500"
"Timor-Leste","0.5300","0.8400","0.2100"
"Niger","0.5200","0.8900","0.1500"
"Jordan","0.5200","0.8900","0.1400"
"Morocco","0.4900","0.8700","0.1300"
"Brunei","0.4600","0.6800","0.2100"
"Tonga","0.4300","0.7300","0.1500"
"Iraq","0.3700","0.6400","0.1000"
"Djibouti","0.3600","0.6000","0.0930"
"Pakistan","0.3100","0.5200","0.0950"
"Indonesia","0.2200","0.3700","0.0630"
"Bhutan","0.2100","0.3300","0.0770"
"Syria","0.1900","0.3200","0.0470"
"Egypt","0.1400","0.2400","0.0370"
"Yemen","0.0340","0.0590","0.0090"
"Libya","0.0270","0.0470","0.0070"
"Afghanistan","0.0130","0.0220","0.0030"
"Bangladesh","0","0","0"
"Saudi Arabia","0","0","0"
"Somalia","0","0","0"
"Mauritania","0","0","0"
"Kuwait","0","0","0"
